date,store,item,actual,prediction,residual,method_name
2018-01-01,1,1,,12.83828994225393,,lightgbm_global_lag
2018-01-01,1,2,,36.39573533343575,,lightgbm_global_lag
2018-01-01,1,3,,20.919713414447124,,lightgbm_global_lag
2018-01-01,1,4,,12.989222261616206,,lightgbm_global_lag
2018-01-01,1,5,,10.550617628650542,,lightgbm_global_lag
2018-01-01,1,6,,34.05422394235639,,lightgbm_global_lag
2018-01-01,1,7,,34.85234428155578,,lightgbm_global_lag
2018-01-01,1,8,,44.75074165623754,,lightgbm_global_lag
2018-01-01,1,9,,28.509038513315122,,lightgbm_global_lag
2018-01-01,1,10,,45.82935352883507,,lightgbm_global_lag
2018-01-01,1,11,,41.359570504325255,,lightgbm_global_lag
2018-01-01,1,12,,41.60004031580632,,lightgbm_global_lag
2018-01-01,1,13,,48.57901062892967,,lightgbm_global_lag
2018-01-01,1,14,,34.85646092286351,,lightgbm_global_lag
2018-01-01,1,15,,51.374245080059616,,lightgbm_global_lag
2018-01-01,1,16,,15.581520965025609,,lightgbm_global_lag
2018-01-01,1,17,,20.15776984273393,,lightgbm_global_lag
2018-01-01,1,18,,51.44251882367739,,lightgbm_global_lag
2018-01-01,1,19,,23.672556776107037,,lightgbm_global_lag
2018-01-01,1,20,,29.38694730448971,,lightgbm_global_lag
2018-01-01,1,21,,22.322882764702605,,lightgbm_global_lag
2018-01-01,1,22,,47.6521975446751,,lightgbm_global_lag
2018-01-01,1,23,,16.88856171525058,,lightgbm_global_lag
2018-01-01,1,24,,35.57713080646896,,lightgbm_global_lag
2018-01-01,1,25,,46.380238410619356,,lightgbm_global_lag
2018-01-01,1,26,,29.88499688259506,,lightgbm_global_lag
2018-01-01,1,27,,13.063318207367809,,lightgbm_global_lag
2018-01-01,1,28,,52.14044583671049,,lightgbm_global_lag
2018-01-01,1,29,,42.04068725762841,,lightgbm_global_lag
2018-01-01,1,30,,22.65662430342781,,lightgbm_global_lag
2018-01-01,1,31,,33.385872714430015,,lightgbm_global_lag
2018-01-01,1,32,,25.201322032648125,,lightgbm_global_lag
2018-01-01,1,33,,43.25738600410668,,lightgbm_global_lag
2018-01-01,1,34,,15.297757361411914,,lightgbm_global_lag
